codgeo,ze2020,bpe_facilities_2023_total
02490,3214,13.0
02491,3214,5.0
02492,3214,11.0
02493,3214,6.0
02494,3220,6.0
02495,3217,20.0
02496,3221,2.0
02497,3214,37.0
02498,3214,25.0
02499,3214,1.0
02500,3220,26.0
02501,3214,2.0
02502,3214,74.0
02503,3220,17.0
02504,3220,34.0
02505,3209,9.0
02506,3221,4.0
02507,3209,1.0
02508,3214,2.0
02509,3209,4.0
02510,3209,4.0
02511,3220,3.0
02512,3209,7.0
02513,3214,9.0
02514,3221,22.0
02515,3209,1.0
02516,3214,2.0
02517,3214,7.0
02518,3209,8.0
02519,3214,3.0
02520,3221,20.0
02521,3209,53.0
02522,3214,2.0
02523,3221,1.0
02524,3209,16.0
02525,3220,14.0
02526,3214,4.0
02527,3221,13.0
02528,3221,5.0
02529,3214,2.0
02530,3214,1.0
02531,3214,2.0
02532,3220,45.0
02533,3221,3.0
02534,3214,1.0
02535,3217,7.0
02536,3221,3.0
02537,3221,4.0
02538,3209,2.0
02539,3220,21.0
02540,3209,24.0
02541,3214,17.0
02542,3220,2.0
02543,3209,89.0
02544,3217,20.0
02545,3214,5.0
02546,3220,5.0
02547,3214,2.0
02548,3217,6.0
02549,3220,23.0
02550,3214,2.0
02551,3221,3.0
02552,3220,8.0
02553,3214,9.0
02554,3209,28.0
02555,3209,67.0
02556,3214,1.0
02557,3221,3.0
02558,3217,135.0
02559,3214,14.0
02560,3220,13.0
02561,3214,6.0
02562,3221,4.0
02563,3220,2.0
02564,3221,17.0
02565,3214,5.0
02566,3220,22.0
02567,3217,13.0
02568,3221,6.0
02569,3220,12.0
02570,3220,1.0
02571,3220,15.0
02572,3214,10.0
02573,3214,1.0
02574,3217,48.0
02575,3220,68.0
02576,3221,7.0
02577,3221,1.0
02578,3214,1.0
02579,3209,3.0
02580,3209,40.0
02581,3221,9.0
02582,3214,1.0
02583,3214,1.0
02584,3217,3.0
02585,3221,11.0
02586,3214,5.0
02587,3214,3.0
02588,3214,3.0
02589,3214,9.0
02590,3209,6.0
02591,3214,3.0
02592,3220,5.0
